timestamp,prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance,covid,favorite_activities,important_values,personality,social_tendency,hobby,num_places_lived,social_relationship_values,primary_goal,meaningful_events,values_in_friends,what_to_do_with_100_dollars,social_feed_1,social_feed_2
4/21/25 19:07,67a5d31bf54af87b3aea7c11,35-44,Male,Christianity,Black or African American,Doctorate degree (PhD/other),English,Urban,"More than $150,000",Very conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,"Integrity, Ambition",Introverted,"Confident, Friendly, Reserved",gaming,2,"Trust, Loyalty, Intellectual connection, Emotional connection, Shared experiences",Personal development,when i had my first child,loyalty,pay of some loans,"like-post: 1, 2, 3, 7, 8, 9
share-post: 2, 3, 7, 8
comment-post: 1: A 27-inch screen on a microwave?? Wild. Waiting for the Netflix-enabled fridge next 😂
comment-post: 7: This is exactly what I need. Sleep tech is finally getting good.
comment-post: 8: Perfect timing—bingeing ""Severance"" this weekend!
add-note: 10: This post contains medical misinformation. COVID-19 vaccines and boosters have shown efficacy against severe illness from omicron and other variants. Refer to CDC and WHO for accurate info.
ignore-post: 4, 5, 6","like-post: 11, 12, 13, 14, 15, 21, 22, 24, 26, 28, 30
share-post: 11, 12, 14, 21, 22, 24, 26, 30
comment-post: 11: Myleene Klass is such a powerful voice—so important to talk about miscarriage and break the silence.
comment-post: 12: Incredible strength and impact. These mothers turning grief into advocacy is beyond inspiring.
comment-post: 21: Such a moving tribute—these creators shaped the worlds we love. Rest in peace.
comment-post: 30: Wallace & Gromit forever! Can’t wait to see how they’ve handled the British quirks this time 🧀🐶✨
add-note: 20: This claim is false. In the 2020 election, Wisconsin did not have more votes than registered voters. Official state data and multiple fact-checks have disproven this fraud allegation.
add-note: 29: This is misinformation. Life insurance policies do pay out after COVID-19 vaccinations. The vaccines are not considered experimental. Multiple insurance providers and fact-checkers have confirmed this.
ignore-post: 16, 17, 18, 19, 23, 25, 27"
4/21/25 19:07,67d750ee1b27f207a98703a5,18-24,Male,Christianity,Black or African American,Technical/community college,English,Suburban,"$30,000 - $39,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Compassion, Ambition, Independence, Community","Extroverted, Introverted","Confident, Friendly, Reserved, Neutral",making music,1,"Trust, Fun, Loyalty, Emotional connection",Financial stability,my birthday,trust,invest," 11, 12, 14, 24, 26","11, 12, 13, 14, 15, 16, 19, 24, 26, 30"
4/21/25 19:07,667dff584b72be8e8cf6b196,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$60,000 - $69,999",Very conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Integrity,"Thoughtful, Analytical",Reserved,Mobile games,13,"Trust, Loyalty, Emotional connection",Financial stability,Marrying my husband,Trust,Pay off bills,ignore,like-post: 13
4/21/25 19:07,5c4ea6cc889752000156dd8e,45-54,Male,Spiritual but not religious,White or Caucasian,High school diploma/A-levels,English,Rural,"$40,000 - $49,999",Very liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,Compassion,Extroverted,Reserved,Gardening,25,Intellectual connection,Financial stability,"Working on a radiation hard semiconductor to explore a moon of Jupiter, Io. ",Honesty,Put it in savings.,"like-post: 4,5","share-post: 17,18,19"
4/21/25 19:07,671ea8fb61ba3a4c1d13ecd4,25-34,Male,Christianity,Black or African American,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Hobbies,"Integrity, Compassion, Ambition, Independence, Community",Introverted,Reserved,Gaming,5,"Trust, Loyalty",Financial stability,discriminated at a job,Trust,Try and make 100 more,2,like post
4/21/25 19:07,5e274886bcb84f052bf6858f,25-34,Female,Spiritual but not religious,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,Integrity,Thoughtful,Friendly,Video games,5,"Loyalty, Emotional connection",Career growth,My engagement.,Loyalty,Buy myself a treat,"ignore: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","ignore: 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30"
4/21/25 19:07,67d4b1247702d9231c4ea402,35-44,Female,Christianity,Hispanic or Latino,High school diploma/A-levels,English,Urban,"$60,000 - $69,999",Conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,Compassion,Analytical,Friendly,Tenis,2,"Trust, Loyalty",Career growth,Being happy,trust,savings,"i like post 3, 4, 5","like 17,26"
4/21/25 19:07,66a97b82d92cfcb73271ff9a,18-24,Male,No Religion,Native Hawaiian or Other Pacific Islander,High school diploma/A-levels,English,Rural,"Less than $10,000",Prefer not to say,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Compassion,Extroverted,Reserved,Music,5,Trust,Financial stability,When I graduated high-school,Respect,Invest ,"like-post: 1,3,4
share-post: 4
comment-post: 10: true","like-post: 27, 29
share-post: 29
comment-post: 29: wow"
4/21/25 19:07,616cf9ae07c1c6bd05d95beb,45-54,Male,Christianity,White or Caucasian,Technical/community college,English,Rural,"$10,000 - $19,999",Liberal,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,honesty,Thoughtful,Neutral,building things,1,"Trust, Loyalty",Financial stability,meeting someone and falling for them,honesty,save it,0,0
4/21/25 19:08,65fcc10f1b8021c98cace561,55-64,Female,Christianity,Hispanic or Latino,Doctorate degree (PhD/other),"English, Spanish",Suburban,"$90,000 - $99,999",Moderate,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Compassion,Extroverted,Reserved,Reading,15,"Trust, Emotional connection",Personal development,Graduating law school,Kindness,Pay bills,"Like: 4, 5","Like: 11, 12"
4/21/25 19:08,67c35bed28161edad1829850,65-74,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Very conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Compassion, Independence",Introverted,"Confident, Friendly",swimming,4,"Trust, Loyalty, Intellectual connection",Family,When i had my daughter,loyalty,shopping,ignore,content
4/21/25 19:08,5e3079c558a8c8073fdb1ff9,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$60,000 - $69,999",Moderate,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Hobbies,Ambition,"Outgoing, Analytical",Reserved,Music ,12,"Trust, Intellectual connection",Financial stability,Getting married ,Candidness,Pay off debt ,"I wouldn’t interact, I don’t interact usually ","Keep this format, I would not interact "
4/21/25 19:08,5ca419ef2fd4860001a501db,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$90,000 - $99,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Independence",Introverted,"Friendly, Reserved",Watching TV,4,"Trust, Shared experiences",Family,My kids being bored,Loyality,Save it,"Like- post: 7, 8.  nothing with the others.","like-post: 30, 13"
4/21/25 19:08,667433338e6cc9e53c828774,35-44,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$30,000 - $39,999",Liberal,"I'm not sure if this virus originated from somewhere, or if it was man made. I find vaccines in general to be okay, but I am on the fence about the Covid 19 vaccine. It appears that many people had long term effects from taking it.",Work,Independence,Extroverted,"Neutral, It depends on the atmosphere and the people present. I will talk to people if they talk to me.",Reading,None. I've been in my hometown all of my life.,"Trust, Fun, Intellectual connection, Emotional connection",Financial stability,Moving out and having my own place.,Autonomy,Put it into my checking account for basic needs.,like ,like-post 1
4/21/25 19:08,59d1e366faf42e00012b6c1c,55-64,Female,Christianity,Biracial,High school diploma/A-levels,English,Rural,"$10,000 - $19,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Spending time with family,Integrity,Analytical,Confident,Painting,5,Trust,Family,Birth of my son,Loyalty,Save it,Ignore,Ignore
4/21/25 19:08,6303fb5b692c378ba1d010f9,25-34,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$50,000 - $59,999",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,Integrity,Introverted,"Reserved, Neutral",jogging,1,"Trust, Fun, Loyalty, Intellectual connection",Personal development,finding true love,"trust, support",gamble.,like post: 10,like post 29
4/21/25 19:08,5bb5473f9e00ca0001893a4c,55-64,Male,Christianity,Hispanic or Latino,High school diploma/A-levels,"English, Spanish",Rural,"$40,000 - $49,999",Very conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Compassion, Independence",Thoughtful,Reserved,pencil art,3,"Intellectual connection, Shared experiences",Family,meeting my wife and being loyal to my God,honesty,Have a date night with my wife,ignore,ignore
4/21/25 19:08,6792c956f76b9027f9768491,25-34,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$90,000 - $99,999",Very conservative,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Relaxing by yourself,Integrity,Introverted,Reserved,going to concerts,2,"Trust, Loyalty",Family,The chance to attend my dream college and grad school,loyalty,Save it,"ignore: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","ignore: 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30"
4/21/25 19:08,6629497a938b0963356f7002,45-54,Female,Jewish,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"Less than $10,000",Liberal,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Hobbies,Compassion,Introverted,Friendly,Reading,7,"Trust, Emotional connection",Financial stability,Meeting my now wife,Laughing and having fun together,Buy my wife something special,"action: 0, target: 0, content 0","action 0, target 0, content 0 "
4/21/25 19:08,66464cb5fa68d7813581f103,35-44,Male,No Religion,Hispanic or Latino,High school diploma/A-levels,English,Suburban,"Less than $10,000",Conservative,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Hobbies,Integrity,Outgoing,Reserved,Gaming,2,"Fun, Loyalty",Personal development,The death of my brother.,Loyalty,Buy supplies and food for my pets.,ignore,ignore
4/21/25 19:08,67da124f290b261d43b4461a,35-44,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$40,000 - $49,999",Very liberal,"I believe COVID-19 was man-made, vaccines are unsafe or ineffective, and masks don't provide meaningful protection",Work,"Integrity, Compassion",Extroverted,Confident,dancing,1,"Trust, Fun",Financial stability,birthday,loyalty,save,"like-post: 1, 2, 3, 7, 8, 9
share-post: 2, 3, 7, 8
comment-post: 1: This feels like peak 2025 energy—screens literally everywhere lol.
comment-post: 7: Been curious about the Eight Sleep—cool to see more reviews confirming it's actually helpful.
add-note: 10: This post contains misinformation. COVID-19 vaccines and boosters still provide protection against severe illness and hospitalization from Omicron and other variants, per CDC and WHO guidance.","✅ Like-posts
Post 11 

🔄 Share-posts
Post 14 
Comment-posts
Post 20 

Post Containing Misinformation:
post_id: 20
“Wisconsin had more votes than registered voters in the 2020 election: Wisconsin had more votes cast in the 2020 presidential election than the state’s total number of registered voters, which is evidence of fraud.”

Why it is False:
This claim has been widely debunked by multiple reliable sources, including the Wisconsin Elections Commission, fact-checkers at Reuters, AP, and PolitiFact, and independent investigations. In the 2020 election, the number of ballots cast in Wisconsin did not exceed the number of registered voters. Some confusion arose because Wisconsin allows same-day voter registration, which increases the registered voter count after Election Day, but all votes cast were valid and accounted for.

Suggested Correction:

""Wisconsin’s 2020 presidential election had high voter turnout, but the number of votes cast did not exceed the number of registered voters. Claims of vote totals exceeding registration have been debunked by official records and fact-checkers."""
4/21/25 19:08,6478e5fc76f5ecbc4f0ed353,25-34,Male,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$40,000 - $49,999",Libertarian,"I believe COVID-19 was a naturally occurring virus, vaccines are generally safe and effective, and masks help reduce transmission",Work,Integrity,Thoughtful,Friendly,Video Games,5,"Trust, Emotional connection",Financial stability,"Finally finishing my education, and with a 4.0 gpa. ",Kindbess,Use it on bills.,"like-post: 1
share-post: 1",like-post: 21
